tweet_no,count,hate_speech,offensive_language,neither,class,tweet
175,3,0,3,0,1,mention charlie sheen is too real httplink major fucking respect for charlie sheen
176,3,0,3,0,1,mention wish i had a bae hashtag you got all the hoe tho
177,3,0,3,0,1,mention fuck twerking bitch can you cook
178,3,0,3,0,1,mention mention bitch wtf httplink
179,3,1,2,0,1,mention hashtag mention shut up zoe fight me pussyhashtag for zoe im good man you are good maam move along now
180,3,0,3,0,1,mention lmao fucking snake bitch em
181,3,0,3,0,1,mention big booty hoe everywhere sheesh hashtag damn hashtag
182,3,0,0,3,2,mention stay tuned to mention for an update on the report that mention b mention will be out  week mention hashtag
183,3,0,0,3,2,mention hashtag i play soccer cheat on girl and wear khaki coloured cargo haircut httplink yes lmfaomention
184,3,0,3,0,1,mention oregon choke every year get off the field trash as program rft
185,3,0,3,0,1,mention def not cowboy lol rt mention terrell owen wa the best eagle cowboy ever dude cried like a bitch on tv over romo
186,3,3,0,0,0,mention lmfaoooo i hate black people httplink this is why there black people and nigger
187,3,0,3,0,1,mention mention mention how could u do this to me bitch potent
188,3,0,1,2,2,mention httplink a pissed lad past out i would lick his dirty sol while he slept
189,3,0,1,2,2,mention httplink love frat boy w soft long sol
190,3,0,1,2,2,mention httplink sexy lad with hot sol and arch
191,3,0,3,0,1,mention mention nah fam i gotta cheat with the hoe depends on the female i feel
192,3,0,0,3,2,mention mention hashtag i got hick lol
193,3,1,2,0,1,mention this new twitter is confusing the shit out of me go back to south america bitch
194,3,0,3,0,1,mention toto mean as or vaginai think pussy cause toto santi is like nasty pussy
195,3,0,3,0,1,mention but what if he actually doe choose the ugly bitch over you hashtagher as must be fat
196,3,0,3,0,1,mention bitch couldnt kill my vibe if ya tried hashtag dis why i love miley
197,3,0,3,0,1,mention im tired of bitch saying i look mean hashtag nigga you big af wear tight shirt and grim everybody
198,6,0,0,6,2,mention  bird your grandkids may never see thanks to climate change httplink httplink hashtag
199,3,0,3,0,1,mention stay beautiful you bitch
200,3,0,3,0,1,mention hashtag r purple ceeeleeeman this gurl wa jus playin on the stupid hoe track but in still shitted on sum gurls
201,3,0,3,0,1,mention money getting taller and bitch getting blurry
202,3,1,2,0,1,mention i aint never seen a bitch so obsessed with they niggahashtag im obsessed with mine hashtag
203,3,0,2,1,1,mention kobe stay talking trash but let not forget httplink mention i meant to do this one smh
204,3,2,1,0,0,mention at least im not a nigger httplink lmfao
205,3,0,3,0,1,mention people always asking me what im mixed with she a bad asian bitch lol
206,3,2,1,0,0,mention mention ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
207,3,0,1,2,2,mention hashtag foster home for imaginary trashhashtag whoa chill that show wa everything tf
208,6,0,5,1,1,mention i am lowkey tired if you tired be quiet and go to sleep hoe
209,3,0,3,0,1,mention hashtag stop bringing weird nigger into my mention mentionhashtag httplink
210,3,0,3,0,1,mention we dont love these hoe hashtag
211,3,0,3,0,1,mention if yo girl cant have homeboy you a ol weak bitch as nigga
212,3,0,3,0,1,mention mention i think worst advice i gave you wa dont be a pussy and speed up lol
213,3,0,3,0,1,mention quote this tweet with your favorite animalpussy
214,3,0,3,0,1,mention i hate when stripper tell you theyre dancer hoe ballet dancer dont pop their pussy to beethoven you a stripper
215,3,0,3,0,1,mention andrewbryant poff ha double vision after  beer poff double pussy hashtag smh
216,3,0,3,0,1,mention when bitch twerk on the computer me in ya hashtag in ya damn hashtag
217,3,0,3,0,1,mention hashtag hashtag mention prince this is art httplink nobody takin his bitch
218,3,0,1,2,2,mention  of welfaregovernment aid is claimed by white people so yall black slander is trash now
219,3,0,3,0,1,mention these bitch dont care they just play that role
220,6,0,6,0,1,mention it took a while for you to find me but i wa hiding in the lime tree mention dis bitch in da wrong tree bro
221,6,3,2,1,0,mention drake new shoe that will be released by nikejordan yes there glitter on the shoe httplink dude a fag
222,3,0,1,2,2,mention mention inna di ghetto you alone lmaoo
223,3,0,1,2,2,mention hashtag mention mention hoe austinhashtag teach u austini teach u how to get curved thats all i know
224,3,1,2,0,1,mention bitch cant cook but know how to suck dick so to the one that can do both
225,3,0,3,0,1,mention fat hoe get chose lol
226,3,0,3,0,1,mention hashtag well theyre hoesno one expects them to be loyal
227,3,0,3,0,1,mention mention mention ol bitch as httplink
228,3,1,2,0,1,mention bruh im tired of nigga retweetin miley cyrus naked that bitch aint no type of bad lmaooo
229,3,0,3,0,1,mention just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirl lol bitch fuck you
230,3,0,3,0,1,mention holy shit freddie highmore wa in charlie and the chocolate factory me roll on the floor laughing
231,3,1,2,0,1,mention i dont want to have sex with my gf because i feel like im using her anonymous whata faggot
232,3,0,3,0,1,mention one of your follower with this hashtag httplink somebody bitch if you dont
233,3,0,3,0,1,mention if ya bitch always bitching clearly she care or just an annoying bitch
234,3,0,3,0,1,mention these catfish hoe thinkin they slick but nigga catching on hashtag
235,3,0,3,0,1,mention cant worry about a bitch that aint worried bout me hashtag
236,3,0,3,0,1,mention side hoe are for insecure nigga that cant handle a real one
237,3,0,3,0,1,mention hashtag mention lmao this bitch come scooting in the tent like she about to fuck some shit up hashtag
238,3,0,3,0,1,mention my cousin said he share hoe with his brother he said sharing is caring and he love his brother hashtag
239,3,0,3,0,1,mention im hungry but ionn wanna spend my money on foodhashtagbroke hoe problem hashtag
240,6,0,6,0,1,mention dese hoe be lyin to all of u nigga
241,3,0,3,0,1,mention httplink oh yeah fuck that bitch
242,3,0,1,2,2,mention eli manning just threw his nflleading th interception of the season lmao trash
243,3,0,1,2,2,mention usc senior rb anthony brown call head coach steve sarkisian a racist and quits team hashtag httplink he a bitch
244,3,0,3,0,1,mention guess what i also have zero time for your mansplaining adios stfu pussy
245,3,0,1,2,2,mention chilling hashtag httplink sexy scally lad
246,3,0,3,0,1,mention i aint sharing no bitch if you mine you mine hashtag
247,3,0,3,0,1,mention money only impress the simple broke bitch
248,3,0,2,1,1,mention hashtag will never be anybodys bitch they dont let people control or change them rigghhht
250,3,0,1,2,2,mention mention mention tuku ho idk blah blah blah hashtag
251,3,0,1,2,2,mention mention mention im not mad cuh hahaha suure tuku ho ita hashtag
252,3,0,3,0,1,mention these hoe is crazy
253,3,0,3,0,1,mention you aint ever gonna be a slice bitch kevin hart
254,3,0,3,0,1,mention oomf so fuckin fine tho hashtag dam her dont be no bitch
255,3,1,2,0,1,mention i wonder if the girl that gave head to  boy for a drink in magaluf ha twitter she probly sends nude for fag
256,3,0,3,0,1,mention hashtag yeah bitch yeah bitch call me a maybe b steveo c later d jesse pinkman mention
257,3,0,3,0,1,mention hickies in between her thigh right by her pussy it only right
258,3,0,3,0,1,mention would you still love me when im no longer young and beautiful no ugly monkey as
259,3,1,2,0,1,mention mention mention yall come through the frontbitch i aint coming
260,3,1,2,0,1,mention mention faggot bitch httplink
261,3,0,3,0,1,mention mention yea im on my ipad i dont work this friday let ball this faggot up mentioni work 
262,3,0,1,2,2,mention httplink this scally lad would get it
263,3,2,1,0,0,mention hashtag httplink halloween wa yesterday stupid nigger
264,3,0,2,1,1,mention chrus still supahot tho walk up to teacher with test drop test in that bitch fohead httplink
265,3,0,3,0,1,mention hashtag i love eating pussy lol i never get full lolhashtag i can eat that shit forever lol and ever
266,3,0,3,0,1,mention hashtag mention hashtag no slush hashtag nasty anyway famhashtag hoe taste like medshashtag
267,3,0,2,1,1,mention hashtag no slush hashtag nasty anyway famhashtag
268,3,1,2,0,1,mention bobby bitchby mention be getting me live a fuck hell yea i play that hoe before my workout
269,3,0,3,0,1,mention yo bitch is gucci mane rt mention my bitch a stoner hashtag httplinkhashtag
270,3,0,3,0,1,mention i can ride your bitch with no handle bar
271,3,0,3,0,1,mention and if you aint a hoe get up out my traphoussseeeee
272,3,0,0,3,2,mention  sad tv character death were still bitter over httplink httplinkned stark wa the man
273,3,0,3,0,1,mention these harbor bitch are all party bus hoe lol all
274,3,0,3,0,1,mention mention pussy love it
275,3,0,3,0,1,mention ultraviolence video it coming you little bitch hashtag lana del rey httplink bitchy promo
276,3,0,3,0,1,mention on my way to fuck your bitch httplink lmfao kittycopter
277,3,0,0,3,2,mention a smuggler explains how he helped fighter along the jihadi highway httplink
278,3,0,3,0,1,mention mention aww their avis look so cute together hashtag httplink hashtag do i gotta get ike avi on this bitch
279,3,0,3,0,1,mention mention it simple dont be a hoedont worry about being exposed hashtag fight mewhy
280,3,0,3,0,1,mention why this bitch boosting herself httplink her size isnt exactly the most healthy tho
281,3,0,3,0,1,mention mention bet not be no bitch hashtag hashtag kim bye
283,3,0,3,0,1,mention damn near gotta protect my tweet stalker being annoying you got that dope dick drive these bitch loco
284,3,0,3,0,1,mention im making marack my girlfriend mention aye b you pullin hoe just like o taught you
285,3,1,2,0,1,mention bruno fag boy you love me
286,3,0,3,0,1,mention hashtag i must be a bitchhashtag you are hashtag sike naw this why we always beefing hashtag
287,3,0,0,3,2,mention down  hashtag look to rally in the bottom of the th hashtag
288,3,0,3,0,1,mention hashtag dont take advantage of a nice personhashtag hoe everyjuan
289,3,1,2,0,1,mention happy birthday bitch nigga mention thanks pal
290,3,0,3,0,1,mention sad knowing that most hoe wont fuck with you bc you aint got stack wait till friday
291,3,0,3,0,1,mention mention cinco shit harder fucc niggayee but you fucc wit rich homie cuz dat ya homeboy fucc nicca
292,3,0,3,0,1,mention mention ewww i said that last sundayas in the last sunday i wa there read it again nigshashtag
293,4,1,3,0,1,mention i only punch real nigga in the face cause a pussy nigga is gonna punch me right back strong mush or shake
294,3,0,3,0,1,mention my pussy still fresh something stank girl say
295,4,0,4,0,1,mention as slapping is one the greatest thing haha hashtag i slapped a girl on the as she got mad i aint get pussy for a week
296,3,0,3,0,1,mention mention mention yeah texan are so much better you fucking retard i see that youre mad about this
297,3,1,2,0,1,mention nd wtf is up with dark bitch with blonde please have several seat hoe looking like blackmilds out here
298,4,0,4,0,1,mention there a lane some bitch need to stay in hashtag the left n get right the fuck outta our face hashtag
299,3,0,3,0,1,mention i hate when boy deny that they have bitch hashtag smh
300,3,1,2,0,1,mention ya nigs out there still saying yall dont eat butt with a straight face
301,3,0,3,0,1,mention im a bos as bitch that need to sit in a corner
302,3,0,3,0,1,mention he a hoe i cant
304,3,0,3,0,1,mention me and paul thinkin bout gettin rental for da weekend hashtagoooh shit bitch betta stay out da street
305,6,0,6,0,1,mention bitch hold they nigga down when he get locked up but if a nigga go to college or the military it a different story hashtag
306,3,1,2,0,1,mention why do my friend hate me because you a ratchet hoe
307,3,1,2,0,1,mention no love for these fuck nigga hoe
308,3,0,3,0,1,mention hot meat httplink sexy a fuck scally lad i would love to meet him and his trainer
309,3,0,3,0,1,mention sniff httplink perved up scally lad fuck yeah
310,3,0,3,0,1,mention these bitch love sosa
311,4,0,3,1,1,mention hashtag i legit watched it for about  or  second hashtag did i wtf prob cause were retarded smh
312,3,0,3,0,1,mention what should i name my cat idea mr pussy
313,3,0,2,1,1,mention httplink woof woof sexy thug boy scally
314,3,0,3,0,1,mention mention u see the damn phone ringing hashtag when you married bitch make demand you havent called me
315,3,0,3,0,1,mention tevin is my favorite sophomore i think he so funny he really not lmaoo he a little hoe
316,3,0,3,0,1,mention  sex position httplink httplinknaw this what u call fucking the soul outta bitch hashtag
317,3,2,1,0,0,mention mention is bored supposed to be cute you faggot sometimes
318,3,0,0,3,2,mention one man trash hashtag is another man treasure hashtag
319,3,0,3,0,1,mention i dont got no type bad bitch is the only thing i like iongotnotype
320,3,2,1,0,0,mention mention lassen cc the coach want me i feel it youll get more my nig no doubt
321,3,0,3,0,1,mention god teeth gold chain white bitch cocaine
322,3,1,2,0,1,mention it me hoe it me hoehashtag shhhhh
323,3,0,3,0,1,mention in dc we call them roller in chiraq we call them thots all across america they have been known a a hoe
324,3,0,3,0,1,mention im gonna miss that bitch of a bus driverno you wont dont lie
325,3,0,3,0,1,mention hate when bitch try and put you in the friendzone bitch im tryin to score put me in the endzone hashtag on my soul
326,3,0,1,2,2,mention ashley young ha tried to deny that bird s landed in his mouth httplink httplink hahaha
327,3,0,3,0,1,mention mention yall both gimped up aint tht a bitch huh lol
328,3,0,1,2,2,mention mention take me for a ride hashtag httplinkhashtag woof woof
329,3,1,2,0,1,mention oh my god i love victoria mitchell all my bitch love me
330,3,0,3,0,1,mention that long distance shit wack i knew the bitch wa cheating uh oh
331,3,0,3,0,1,mention he doing it right hashtag httplink no bitch smh
332,3,0,3,0,1,mention they ban dat pussy for life he gotta pay  millon dollar fine
333,3,1,2,0,1,mention rose are red and violet are blue and nigger are black you know thats true mention
334,3,0,0,3,2,mention sitting on my window sill window open bird try to fly in smacked it hashtag mention
335,3,0,3,0,1,mention but a nigga gon be a nigga be a nigga you sound fuckin retarded
336,3,0,0,3,2,mention a video an entire medium will likely mock httplink i am such a crybaby
337,3,0,3,0,1,mention mention mention im not even shy stfu kikis mom hi angelique angelique smile dip cracker in soup
338,3,0,3,0,1,mention tim tebow got cut from every team he wa on in the nfl and he already got more hoe than me in starkville smh hashtag
339,3,0,3,0,1,mention karma is a bitch hashtag hashtag hashtag sip tea
340,3,0,3,0,1,mention fuckin hot gym pussy httplink fuck yeah
341,3,0,0,3,2,mention jihadi patron hajjaj alajmi is arrested at kuwait airport httplink
342,3,0,2,1,1,mention you can call me fireman cause i turn the hoe on
343,3,0,3,0,1,mention i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
344,3,0,3,0,1,mention watch woman try to argue with me like they have a dick and actually fucked some pussy before i hate when bitch do that
345,3,0,3,0,1,mention and smoke weed in public fuck cop man do what you wanna do they dont own you run if they come are you retarded
346,3,0,0,3,2,mention tweety bird tho hashtagtcojbnonmnp
347,3,0,3,0,1,mention my pussy sweet like watermelon httplink thotermelon
348,3,0,1,2,2,mention when twitter rapper dm me their trash link httplink
349,3,0,3,0,1,mention loud bitch annoy me
350,4,0,4,0,1,mention eventually every bitch turn into that hoe truuu
351,3,0,3,0,1,mention mention mention i swear if oomf try talking to me tomorrow mention pussy
352,3,0,3,0,1,mention you bitch be pretending to be tf crazy you aint never lied
353,4,0,3,1,1,mention mention k bye hoe um bye
354,3,2,1,0,0,mention jackies a retard hashtag at least i can make a grilled cheese
355,3,1,2,0,1,mention ima keep on giving these pussy as nigga ah reason to hate
356,3,0,0,3,2,mention photo httplink he is in sole heaven
357,3,2,1,0,0,mention stacey dash won hashtag httplink baddest bitch evaaaa
358,3,0,3,0,1,mention side bitch sunday hashtag hashtag
359,3,0,3,0,1,mention fact what baldheaded bitch made this shit hashtag httplink lmao hashtag
360,3,0,3,0,1,mention fuck wit u and then we tweakin hoe shmurda
